organisation,count
International Business Machines Corporation,118521
"Samsung Electronics Co., Ltd.",82044
Canon Kabushiki Kaisha,68212
Keine Organisation,50324
Sony Côrporation,48386
Kabushiki Kaisha Toshiba,46434
General Electric Company,42987
"Hitachi, Ltd.",38345
Intel Corporation,35792
Fujitsu Limited,34410
Microsoft Corporation,29762
The United States of America as represented by the Secretary of the Navy,28613
NEC Corporation,27301
LG Electronics Inc.,26771
Siémens Aktiengesellschaft,26472
"Matsushita Electric Industrial Co., Ltd.",26102
"Micron Technology, Inc.",25487
Seiko Epson Corporation,24294
Xerox Corporation,22467
Texas Instruments Incorporated,22009
"Hewlett-Packard Development Company, L.P.",21518
Eastman Kodak Company,21442
"Ricoh Company, Ltd.",21277
Robert Bosch GmbH,20916
Mitsubishi Denki Kabushiki Kaisha,20103
"Motorola, Inc.",19940
Sharp Kabushiki Kaisha,19807
QUALCOMM Incorporated,19515
Toyota Jidosha Kabushiki Kaisha,18554
"Taiwan Semiconductor Manufacturing Company, Ltd.",16295
"Fuji Photo Film Co., Ltd.",16092
Apple Inc.,16066
Panasonic Corporation,15886
Google Inc.,15338
Telefonaktiebolaget L M Ericsson (publ),14811
E. I. du Pont de Nemours and Company,14249
The Boeing Company,13985
The Procter & Gamble Company,13549
U.S. Philips Corporation,13331
"Cisco Technology, Inc.",13172
Denso Corporation,12744
"Ford Global Technologies, LLC",12655
Brother Kogyo Kabushiki Kaisha,12643
"SEMICONDUCTOR ENERGY LABORATORY CO., LTD.",12560
"Honda Motor Co., Ltd.",12239
Infineon Technologies AG,12107
"GM Global Technology Operations, Inc.",12097
"Hon Hai Precision Industry Co., Ltd.",12007
Bayer Aktiengesellschaft,11091
Broadcom Corporation,11028
"Honeywell International, Inc.",10993
"Advanced Micro Devices, Inc.",10796
General Motors Corporation,10641
"AT&T INTELLECTUAL PROPERTY I, L.P.",10293
3M Innovative Properties Company,10223
Koninklijke Philips Electronics N.V.,10188
"Samsung Display Co., Ltd.",10149
FUJIFILM Corporation,10015
"Fuji Xerox Co., Ltd.",10010
The Regents of the University of California,9967
Honda Giken Kogyo Kabushiki Kaisha,9776
Hewlett-Packard Company,9604
BASF Aktiengesellschaft,9503
Lucent Technologies Inc.,9373
Westinghouse Electric Corp.,8437
NOK Corporation,8315
United Technologies Corporation,8300
Nokia Corporation,8225
"Applied Materials, Inc.",8196
"Nissan Motor Co., Ltd.",8183
"Sanyo Electric Co., Ltd.",8139
"MICROSOFT TECHNOLOGY LICENSING, LLC",7831
Minnesota Mining and Manufacturing Company,7807
"Amazon Technologies, Inc.",7697
The Dow Chemical Company,7644
"Sun Microsystems, Inc.",7627
STMICROELECTRONICS S.R.L.,7594
Mitsubishi Electric Corporation,7479
"NIKE, Inc.",7436
Electronics and Telecommunications Research Institute,7349
Shell Oil Company,7254
Industrial Technology Research Institute,7027
"Huawei Technologies Co., Ltd.",7011
Seagate Technology LLC,6957
Hyundai Motor Company,6943
Schlumberger Technology Corporation,6908
"MEDTRONIC, INC.",6861
Caterpillar Inc.,6823
Ciba-Geigy Corporation,6809
Tokyo Electron Limited,6468
RCA Corporation,6449
Kao Corporation,6356
"LG Display Co., Ltd.",6280
Hynix Semiconductor Inc.,6233
The Goodyear Tire & Rubber Company,6205
Raytheon Company,6136
EATON CORPORATION,6063
"Sumitomo Electric Industries, Ltd.",5957
Yazaki Corporation,5937
"Halliburton Energy Services, Inc.",5888
